"Listing Number","Subdivision","Street Number","Street Name","Status","Area","Listing Date","Expiration Date","Status Change Date","Under Contract Date","Agent Days On Market","Cumulative DOM","Original List Price","Listing Price","Sold Price","Sold Price/SqFt","SqFt - Living","# Bedrooms","Baths - Full","Baths - 1/2","Approximate Age","Lot Dimensions","Property Type","Type","Sold Date","Acreage Range","Selling Office","Listing Office","Listing Member","Selling Member","City","State","Zip Code","Unit #","Parish","Co-selling Member","Legal Desc","Projected Closing Date","Compensation","Pool on Subject Property","Lot #","Co-listing Member","Sold Terms"
"23006698","Martin Park","201","Spencer","C","G3","2023-07-25","","2023-10-03","2023-09-05","33","33","199000.00","194000.00","197000.00","109.44","1800.00","3","2","","51 - 75 Years","89.8X125","Residential","DS","2023-10-02","0 - 0.5","Keller Williams Realty Red Stick Partners (l001125)","Keller Williams Realty Acadiana (l000906)","Brian Gotreaux","Brandon Ricard","Lafayette","LA","70506","","Lafayette","","LOT 52 MARTIN PARK SUB (89.8X125)","2023-10-03","2.9","N","52","","FHA"
"23006250","Stable View","211","Seabiscuit","C","D","2023-07-13","","2023-10-03","2023-08-16","34","34","262500.00","262500.00","262500.00","142.97","1836.00","4","2","","Under Construction","110.05x113.58x105.45x35.71","Residential","DS","2023-10-03","0 - 0.5","Real Broker, LLC (l001335)","Keaty Real Estate Team (l000932)","James Keaty","Lindsey Reed","Lafayette","LA","70507","","Lafayette","","Stable View Lot 13","2023-09-27","3%","N","13","","FHA"
"23006995","None","1888","Hwy 343","C","L2","2023-08-03","","2023-10-03","2023-08-17","14","14","440000.00","440000.00","417000.00","213.52","1953.00","3","2","","6 - 10 Years","Approximatley 1,125' of frontage","Residential","DS","2023-10-03","30 - 49.99","Quest Real Estate, LLC (l001313)","A.L.C. Real Estate (l000016)","Jason Gossen","Brandon Stutes","Church Point","LA","70525","","St Landry","","46.85 AC IN SEC 23 T-8-S, R-3-E","2023-10-03","3%","N","000","","Conv"
"23007423","None","316","Coon","C","I1","2023-08-10","","2023-10-03","2023-08-31","21","21","249000.00","249000.00","242000.00","142.52","1698.00","3","2","","6 - 10 Years","120 X 135","Residential","DS","2023-10-03","0 - 0.5","Keller Williams Realty Acadiana (l000906)","Keller Williams Realty Acadiana (l000906)","Rita Bonin","Lorelei Adams","New Iberia","LA","70563","","Iberia","","1-120 X 135 DEROUEN, DEROUEN ETAL, PRIVATE DRIVE, WILLOW WOOD SUBD","2023-10-03","3%","N","none","Morgan Berard Landry","Conv"
"23008641","Dodson","609","Everette","C","I1","2023-09-21","","2023-10-03","2023-09-21","0","0","125000.00","125000.00","120000.00","96.62","1242.00","3","2","","41 - 50 Years","0","Residential","DS","2023-10-03","0 - 0.5","Helping Hands Realty, LLC (l001319)","Dream Home Realty, LLC (l001181)","Monique Fritz","Christi Kelly","New Iberia","LA","70563","","Iberia","","1-50 X 150 ROY, FRANTZ, EVERETTE ST, LOT 17 BEING PART OF BLK 23, DOD","2023-10-06","3%-%150","N","17","","Cash"
"23006373","Abbey Court","206","Cainwood","C","C","2023-07-17","","2023-10-03","2023-07-17","0","0","222355.00","222355.00","222355.00","156.37","1422.00","3","2","","New","50X117","Residential","MM","2023-10-03","0 - 0.5","Cicero Realty LLC (l001234)","Cicero Realty LLC (l001234)","Saun Sullivan","Saun Sullivan","Carencro","LA","70520","","Lafayette","","LOCATED IN SECT. 28 T-8-S, R-4-E, CARENCRO, LA - LAFAYETTE PARISH, LOUISIANA","2023-10-03","3%","N","47","","Conv"
"23007245","Kates Crossing","101","Lightbourne","C","G3","2023-08-09","","2023-10-03","2023-08-09","0","0","208965.00","208965.00","208965.00","154.10","1356.00","3","2","","New","91X120X51X92","Residential","DS","2023-10-03","0 - 0.5","HUNCO Real Estate (l001141)","Cicero Realty LLC (l001234)","Saun Sullivan","Tiffany Carter","Lafayette","LA","70506","","Lafayette","","KATES CROSSING PHASE 1; LOCATED IN SECT. 8, T10S-R4E","2023-10-03","2.5%","N","57","","Rural Dev"
"23001014","None","413","Koch","C","L1","2023-02-06","","2023-10-03","2023-05-02","76","76","119000.00","105000.00","99000.00","66.89","1480.00","3","2","","16 - 20 Years","Irregular","Residential","MM","2023-10-02","1 - 2.99","Parish Realty Acadiana (l001178)","Keller Williams Realty Acadiana (l000906)","Linda Taylor","Robyn Wells","Arnaudville","LA","70512","","St Landry","","S-30, T-7-S, R-6E","2023-10-02","3%","N","0","","FHA"
"23005422","Winrock Valley","125","Amber","C","D","2023-06-20","","2023-10-03","2023-07-17","5","5","89900.00","89900.00","85000.00","70.83","1200.00","3","1","1","31 - 40 Years","68.75x130","Residential","DS","2023-10-03","0 - 0.5","Keller Williams Realty Acadiana (l000906)","Christe Dailey Realty (l000917)","Christe Dailey","Nah Senpeng","Lafayette","LA","70507","","Lafayette","","P LOT 60 WINROCK VALLEY SUB (68.75X130)","2023-09-29","3-200","N","006","","Cash"
"23008322","Arnould Hgts","516","Downing","C","G3","2023-09-12","","2023-10-03","2023-09-13","1","1","179900.00","179900.00","170000.00","128.11","1327.00","3","2","","41 - 50 Years","77 X 150","Residential","DS","2023-10-03","0 - 0.5","Bajat Realty, LLC (l001356)","EXP Realty, LLC (l001154)","Michelle Leger","Sheri Bajat","Lafayette","LA","70506","","Lafayette","","NW 77 FT LOT 5 BLK 11 ARNOULD HEIGHTS","2023-10-03","3%","N","5","","Cash"
"23005543","Cypress Gardens","209","Cypress View","C","P","2023-06-22","","2023-10-04","2023-08-21","60","60","379900.00","375000.00","357500.00","173.88","2056.00","4","2","","4 - 5 Years","55X109.28X55X109.06","Residential","DS","2023-10-03","0 - 0.5","EXP Realty, LLC (l001154)","Latter & Blum (l000050)","Angel Metrejean","Drake Abshire","Youngsville","LA","70592","","Lafayette","","LOT 85 CYPRESS GARDENS (55X109.28X55X109.06)","2023-10-04","3%-150","N","85","","Cash"
"22010298","None","1022","Majestic","C","Evangeline","2022-11-04","","2023-10-04","2023-08-23","282","282","89000.00","79900.00","76000.00","43.38","1752.00","3","2","","31 - 40 Years","146x100","Residential","DS","2023-10-03","0 - 0.5","Parish Realty Acadiana (l001178)","Premier Realty of Acadiana LLC (l001172)","Paul Schexnayder","Lauren Gardiner","Ville Platte","LA","70586","","Evangeline","","Lot 21 & the Northern 34' of Lot 20 Blk 3 Percy J Fontenot Subdivision in Section 20, T4S, R1E","2023-10-29","3%","N","21 & N 34' 20","","Conv"
"23008302","None","1466","Wilderness","C","Evangeline","2023-09-11","","2023-10-04","2023-09-18","7","7","225000.00","225000.00","200000.00","121.21","1650.00","2","2","","16 - 20 Years","See Plat","Residential","DS","2023-10-03","3 - 5.99","Bon Aimee Realty (l001189)","Bon Aimee Realty (l001189)","Phillip Lemoine","Phillip Lemoine","Ville Platte","LA","70586","","Evangeline","","1 TRACT 1000--LOCATED IN W1/2/NW1/4 SEC. 20 T3-2E (5.02 ACS.) C-200 P","2023-10-26","2.5 %","N","NK","","Cash"
"23007392","Charleston Village","102","Otter","C","N","2023-08-14","","2023-10-04","2023-09-03","20","20","419000.00","419000.00","419000.00","197.46","2122.00","4","3","","New","65 x 119.22","Residential","DS","2023-10-03","0 - 0.5","Coldwell Banker Trahan Real Estate Group (l001281)","Latter & Blum (l000050)","Laurie Huff","Ruthi Hogan","Lafayette","LA","70503","","Lafayette","","LOT 24 CHARLESTON VILLAGE (65X119.22)","2023-10-13","2.5%-150","N","24","","Conv"
"23007712","Acadiana Heights","112","Gena Marie","C","F","2023-08-23","","2023-10-04","2023-09-02","10","10","150000.00","150000.00","150000.00","133.57","1123.00","2","2","","16 - 20 Years","30x105","Residential","DS","2023-10-03","0 - 0.5","Brandon E. Breaux Real Estate (l000979)","EXP Realty, LLC (l001154)","Charlotte Ducote","Brandon Breaux","Lafayette","LA","70506","","Lafayette","","LOT 23 ACADIANA HEIGHTS SUB (30X105)","2023-10-18","3%","N","23","","Rural Dev"
"23008317","None","118","Governor Morgan","C","A1","2023-09-12","","2023-10-04","2023-09-13","1","1","319000.00","319000.00","319000.00","178.51","1787.00","3","2","","21 - 30 Years","See legal","Residential","DS","2023-10-04","1 - 2.99","NextHome Cutting Edge Realty (l001236)","NextHome Cutting Edge Realty (l001236)","Darla Lejeune","Darla Lejeune","Crowley","LA","70526","","Acadia","","2.53 AC, 'TRACT 1-A' IN SEC 21-43 T9-1E. (LOT-IMP)(F5-2172) (EMPB)","2023-10-11","2.5 - $150","N","See legal","","Conv"
"22000622","None","221","Main","C","I5","2022-01-20","","2023-10-04","2023-08-01","533","533","395000.00","278000.00","278000.00","83.79","3318.00","3","2","","76+ Years","see assessor","Residential","DS","2023-10-03","1 - 2.99","Redfin (l001331)","EXP Realty, LLC (l001154)","Molli Rodriguez","Loran Milliman","Jeanerette","LA","70544","","Iberia","","see remarks","2023-10-03","2.5","N","5,6,7,8,11","","Cash"
"23007648","Grand Pointe","319","Brightwood","C","N","2023-08-21","","2023-10-04","2023-08-26","5","5","349500.00","349500.00","347000.00","193.21","1796.00","3","2","","11 - 15 Years","55.71X129.73","Residential","DS","2023-10-04","0 - 0.5","Dream Home Realty, LLC (l001181)","Latter & Blum (l000050)","Camille Savoie","Billy Pritchard","Lafayette","LA","70508","","Lafayette","","LOT 236 GRAND POINTE SUB PH 1-B","2023-10-06","3%-$150","N","236","","Cash"
"23006926","Boring Woods","303","Vital","C","G3","2023-07-31","","2023-10-04","2023-09-13","3","3","310000.00","310000.00","305000.00","170.30","1791.00","3","2","","41 - 50 Years","73.30x115.47x70x90.64","Residential","DS","2023-10-04","0 - 0.5","Coldwell Banker Trahan Real Estate Group (l001281)","Latter & Blum (l000050)","Sharon Henderson","John O'Reilly","Lafayette","LA","70506","","Lafayette","","LOT 45 BORING WOODS SUB (73.30 X 115.47 X 70 X 90.64), LAFAYETTE PARISH, LAFAYETTE, LA 70506","2023-10-06","3%-$150","Y","45","","Cash"
"23006811","None","249","Eagle Point","C","Assumption","2023-07-28","","2023-10-04","2023-09-13","47","47","330000.00","320000.00","320000.00","293.85","1089.00","2","2","","21 - 30 Years","Irregular","Residential","DS","2023-10-04","0 - 0.5","Bridge Realty Group, LLC (l001377)","NextHome Cutting Edge Realty (l001236)","Shayna Henry","Emily Rosenquist","Pierre Part","LA","70339","","Assumption","","See realtor remarks","2023-10-13","2.5% - $150","N","56 & 57","","Conv"
"23008198","Carlos V Broussard Addition","509","2nd","C","O","2023-09-07","","2023-10-04","2023-09-18","9","9","160000.00","160000.00","163000.00","150.37","1084.00","3","1","","41 - 50 Years","as per plat","Residential","DS","2023-10-04","0 - 0.5","Keller Williams Realty Acadiana (l000906)","EXP Realty, LLC (l001154)","Brandy Smith","Krystal Jones","Broussard","LA","70518","","Lafayette","","LOT 2 BLK 7 CARLOS V BROUSSARD ADD  (65X103.4) 1/2 LOT 11  1/2 LOT 11 BLK 7 CARLOS V BROUSSARD ADD","2023-10-16","3%","N","2","","FHA"
"23007437","Coach House Manor","1203","Carriage Light","C","O","2023-08-14","","2023-10-04","2023-09-14","31","31","190000.00","190000.00","185000.00","123.33","1500.00","3","2","","31 - 40 Years","22 x 90","Residential","AS","2023-10-04","0 - 0.5","Latter & Blum (l000050)","Latter & Blum (l000050)","Brenda Waterman","Mary Langlinais","Youngsville","LA","70592","B","Lafayette","","LOT 132 COACH HOUSE MANOR PHASE I (22X90)","2023-10-04","3%-150","Y","132","","Cash"
"23007202","Hudson Yards","311","Weaver","C","V1","2023-08-08","","2023-10-04","2023-08-08","0","0","247825.00","247825.00","247825.00","135.79","1825.00","3","2","","New","60X120","Residential","DS","2023-10-04","0 - 0.5","Cicero Realty LLC (l001234)","Cicero Realty LLC (l001234)","Saun Sullivan","Saun Sullivan","Maurice","LA","70555","","Vermilion","","SECT. 1, T11S- R3E, VERMILION PARISH","2023-10-04","2.5%","N","29","","Conv"
"23006969","Gabriel's Place","302","Ethereal","C","P","2023-08-02","","2023-10-04","2023-08-02","0","0","267085.00","267085.00","267085.00","145.71","1833.00","4","2","1","New","55X124","Residential","DS","2023-10-04","0 - 0.5","Keller Williams Realty Acadiana (l000906)","Cicero Realty LLC (l001234)","Saun Sullivan","Alok Banga","Youngsville","LA","70592","","Lafayette","","GABRIEL'S PLACE -  SECTION 11, T11S, R4E, LAFAYETTE PARISH, LOUISIANA","2023-10-04","2.5%","N","2","","Conv"
"23005442","Fair Oaks","308","Bacque Crescent","C","G2","2023-06-20","","2023-10-04","2023-09-11","83","83","289850.00","225000.00","215000.00","81.59","2635.00","3","3","","51 - 75 Years","100 x 141.3","Residential","DS","2023-10-04","0 - 0.5","EXP Realty, LLC (l001154)","EXP Realty, LLC (l001154)","Lisa Day","Jeannie DelGreco","Lafayette","LA","70503","","Lafayette","","LOT 3 FAIR OAKS SUB (100X141.3)","2023-10-11","2.5%","N","000","","Cash"
"23007757","Lafittes Landing","100","Treasure","C","O","2023-08-24","","2023-10-04","2023-09-07","14","14","235000.00","235000.00","230000.00","137.15","1677.00","2","2","1","11 - 15 Years","25x107","Residential","DS","2023-10-02","0 - 0.5","Latter & Blum (l000050)","Main Street Real Estate, LLC (l001277)","Tehmi Chassion","Debbie Gill","Lafayette","LA","70508","","Lafayette","","LOT 190 LAFITTES LANDING PH I","2023-10-03","2.5%","N","190","","Cash"
"23006314","Sawgrass","300","Bentgrass","C","N","2023-07-14","","2023-10-04","2023-07-16","2","2","240000.00","240000.00","240000.00","158.31","1516.00","3","2","","11 - 15 Years","45X132X35X72","Residential","DS","2023-10-04","0 - 0.5","Keller Williams Realty Acadiana (l000906)","EXP Realty, LLC (l001154)","Paul Tylock","Lucinda Tillman","Lafayette","LA","70508","","Lafayette","","LOT 48 SAWGRASS SUBDIVISION PHASE I","2023-10-04","2.5%-150","N","48","","VA"
"23005535","Oakthorn","15","Silver Cedar","C","O","2023-06-22","","2023-10-04","2023-08-25","42","42","335000.00","325000.00","320000.00","169.49","1888.00","4","2","","11 - 15 Years","55X144.51","Residential","DS","2023-10-04","0 - 0.5","Latter & Blum (l000050)","Redfin (l001331)","Loran Milliman","Jo Elwell","Youngsville","LA","70592","","Lafayette","","LOT 52 OAKTHORN SUB PHASE II (0.182 AC)(55X144.51)(7,928 SQ FT)","2023-09-29","2%","Y","005","","Cash"
"23001769","Cornay Add","1107","St Mary","C","G3","2023-03-06","","2023-10-04","2023-09-07","155","155","360000.00","339000.00","325000.00","123.86","2624.00","4","3","","51 - 75 Years","100X65X64X100","Residential","DS","2023-10-02","0 - 0.5","Main Street Real Estate, LLC (l001277)","Main Street Real Estate, LLC (l001277)","Tehmi Chassion","Tehmi Chassion","Lafayette","LA","70506","","Lafayette","","P OF LOTS 1 2 3 4 BLK 3 CORNAY ADD 100X65.8X64.3X100)","2023-10-02","2","N","000","","Conv"
"23008869","None","4442","Main","C","M1","2023-09-27","","2023-10-04","2023-09-28","1","1","155000.00","155000.00","150000.00","85.67","1751.00","4","2","","6 - 10 Years","App. 440ft X 90ft","Residential","DS","2023-10-04","0.51 - 0.99","RE/MAX On The Bayou (l001348)","RE/MAX On The Bayou (l001348)","Trey Neuville","Trey Neuville","Breaux Bridge","LA","70517","","St Martin","","See REALTOR Remarks","2023-10-04","2.5-150","N","12","","Cash"
"23006663","Timberstone Estates","1117","Bonnet","C","I1","2023-07-24","","2023-10-04","2023-10-01","59","98","215000.00","200000.00","1500.00","0.93","1613.00","3","2","","16 - 20 Years","75.6 X 117.68","Residential","DS","2023-10-04","0 - 0.5","Latter & Blum - NI (l001161)","B Shivers Realty (l001334)","Bianca Shivers","Rebecca Ruskoski","New Iberia","LA","70563","","Iberia","","1 - 118 X 76 LOT 3, LOT 1, SMITH & NEWBY, BONNET ST BEING LOT 2, BLK","2023-10-13","2.5-$150","N","2","","Lease"
"23007624","None","169","Durke","C","N","2023-08-21","","2023-10-04","2023-08-27","6","6","100000.00","100000.00","75000.00","57.69","1300.00","2","2","","31 - 40 Years","227x200","Residential","MM","2023-10-04","0.51 - 0.99","Keller Williams Realty Acadiana (l000906)","Keller Williams Realty Acadiana (l000906)","Mikaela Wiggins","Mikaela Wiggins","Lafayette","LA","70508","","Lafayette","","Parcels 16-17 of Plat of Survey On Durke Drive (201.1 ft front)","2023-10-16","3","N","16-17","","Cash"
"23007322","Delmar Estates West","115","Santa Rosa","C","N","2023-08-11","","2023-10-05","2023-08-24","8","8","479000.00","479000.00","457000.00","190.10","2404.00","4","3","","6 - 10 Years","43x184x128x103x156","Residential","DS","2023-10-04","0 - 0.5","Rhodes Realty, LLC (l001240)","Frontline Real Estate Group (l001148)","Lindsey Grist James","Carl Johnson","Lafayette","LA","70503","","Lafayette","","LOT 10 DELMAR ESTATES WEST (23,364.83 SQ FT)","2023-10-04","2.5%","N","10","","Conv"
"23008160","None","525","Prayer House","C","L2","2023-09-06","","2023-10-05","2023-09-10","4","4","135000.00","143000.00","143000.00","111.72","1280.00","3","2","","11 - 15 Years","2.709 AC","Residential","DS","2023-10-04","1 - 2.99","Real Broker, LLC (l001335)","Real Broker, LLC (l001335)","Lindsey Reed","Lindsey Reed","Washington","LA","70589","","St Landry","","1 LOT TRACT B (.508 AC) &  1 LOT TRACT A (2.201 AC) (197.82X) NE PRAYER HOUSE RD NW & SW REMAINDER OF LARGER TRACT SE D","2023-10-13","3%-$150","N","Lot 1 Tract A & B","","FHA"
"23007988","Whispering Meadows","304","Whispering Meadows","C","P","2023-08-31","","2023-10-05","2023-09-04","4","4","329900.00","329900.00","329900.00","178.71","1846.00","3","2","","4 - 5 Years","75.7X120X74.98X120","Residential","DS","2023-10-05","0 - 0.5","Dwight Andrus Real Estate Agency, LLC (l001261)","EXP Realty, LLC (l001154)","Drake Abshire","Ted Bauer","Broussard","LA","70518","","Lafayette","","LOT 30 WHISPERING MEADOWS PH 1 (75.7X120X74.98X120)","2023-10-05","2.5% -$150","N","003","","Cash"
"23007556","None","1133","Landry","C","Evangeline","2023-08-18","","2023-10-05","2023-08-31","10","10","185000.00","185000.00","185000.00","99.46","1860.00","3","3","","21 - 30 Years","266 X 332","Residential","DS","2023-10-04","1 - 2.99","RE/MAX Acadiana (l000020)","Century 21 DCG/Aguillard-Eunice (l001063)","Raymond Aguillard","Mandy Menard Lavergne","Eunice","LA","70535","","Evangeline","","2 ACRES IN SEC. 29 T6S-R1W","2023-10-05","2.5%-150","N","0","","FHA"
"23002558","Whispering Meadows","125","Lakes Edge","C","P","2023-03-28","","2023-10-05","2023-08-29","154","154","349650.00","349650.00","349620.00","184.98","1890.00","3","2","","Under Construction","53.5 x 120","Residential","DS","2023-10-05","0 - 0.5","EXP Realty, LLC (l001154)","Latter & Blum (l000050)","Kirk Schexnaider","Hannah Mitchell","Broussard","LA","70518","","Lafayette","","LOT 75 WHISPERING MEADOWS PH 2 (53.52X120)","2023-10-05","2.5%-150","N","75","","Conv"
"23006876","Beau Soleil","12407","Beau Soleil","C","V2","2023-07-31","","2023-10-05","2023-09-15","46","46","335000.00","335000.00","335000.00","170.92","1960.00","4","3","","1 - 3 Years","120 x 110","Residential","DS","2023-10-05","0 - 0.5","RE/MAX Acadiana (l000020)","Latter & Blum (l000050)","Kathy Welch","Mandy Menard Lavergne","Abbeville","LA","70510","","Vermilion","","LOT 24 OF BEAU SOLEIL S/D PHASE I 2021004640 IMP","2023-10-23","3%-150","N","024","Tory Matthews","Conv"
"23009048","Louisiana Avenue Th","2830","Louisiana","C","D","2023-10-02","","2023-10-05","2023-10-02","0","0","80000.00","80000.00","80000.00","66.67","1200.00","2","2","","31 - 40 Years","See Legal","Residential","AS","2023-10-02","0 - 0.5","Keller Williams Realty Acadiana (l000906)","Keller Williams Realty Acadiana (l000906)","Colby Richard","Miles Santiago","Lafayette","LA","70501","","Lafayette","","LOT 56 OF LOUISIANA AVE TOWNHOUSES (20X83.06)","2023-10-02","2","N","56","Lana Soileau","Conv"
"23002902","Acadian Lakes","107","Acadian Lake","C","K","2023-04-10","","2023-10-05","2023-09-03","70","70","239500.00","229500.00","229500.00","128.50","1786.00","4","2","","Under Construction","125.04X65X100.05XC66X40","Residential","DS","2023-10-05","0 - 0.5","Keller Williams Realty Acadiana (l000906)","Keaty Real Estate Team (l000932)","James Keaty","Yolanda Sias","Duson","LA","70529","","Lafayette","","Acadian Lakes Lot 72","2023-10-05","3%","N","72","","FHA"
"23006328","West Village","118","Sandstone","C","F","2023-07-14","","2023-10-05","2023-07-27","13","13","299500.00","299500.00","299500.00","207.27","1445.00","3","2","","Under Construction","14.14x32x90x42x80","Residential","DS","2023-10-05","0 - 0.5","Latter & Blum (l000050)","Lamplighter Realty, LLC (l001186)","Tassie Fonseca","Jacqueline Lyle","Scott","LA","70583","","Lafayette","","LOT R-84 WEST VILLAGE PH I  (3,759 SQ FT)","2023-10-13","2.5% - See RR","N","R84","","Cash"
"23004892","None","3387","Prairie Ronde","C","L2","2023-06-05","","2023-10-06","2023-06-22","17","17","195000.00","195000.00","188500.00","77.32","2438.00","4","2","","41 - 50 Years","irreg.","Residential","DS","2023-10-04","20 - 29.99","New Investors Inc (l000935)","Century 21 Action Realty (l001065)","Ben Blackburn","Newton Thompson","Opelousas","LA","70570","","St Landry","","24.121 AC N FAKOURI S BAYOU GRAND LOUIS E LA HWY 103 W FRILOT IN SEC","2023-10-06","3%","N","0","","FHA"
"23006442","Windy Meadow","303","Breezy","C","O","2023-07-18","","2023-10-06","2023-08-27","40","40","130000.00","119900.00","116000.00","90.63","1280.00","3","2","","16 - 20 Years","104x80x103x62","Residential","MM","2023-10-03","0 - 0.5","Keller Williams Realty Acadiana (l000906)","HUNCO Real Estate (l001141)","Patti Rood","Cheryl Dugas","Youngsville","LA","70592","","Lafayette","","Lot 5 Windy Meadow PII","2023-10-15","3% - $150","N","5","","FHA"
"23007442","Cypress Crossings","221","Still Waters","C","O","2023-08-15","","2023-10-06","2023-08-19","4","4","269900.00","269900.00","266000.00","136.48","1949.00","3","2","","11 - 15 Years","60 x 155","Residential","DS","2023-10-06","0 - 0.5","Keller Williams Realty Acadiana (l000906)","HUNCO Real Estate (l001141)","Shauna Stokes","Trinh Huynh","Broussard","LA","70518","","Lafayette","","LOT 108 CYPRESS CROSSING PHASE I (60X155)","2023-10-09","2.5% (See RR)","N","108","","Conv"
