"Listing Number","Subdivision","Street Number","Street Name","Status","Area","Listing Date","Expiration Date","Status Change Date","Under Contract Date","Agent Days On Market","Cumulative DOM","Original List Price","Listing Price","Sold Price","Sold Price/SqFt","SqFt - Living","# Bedrooms","Baths - Full","Baths - 1/2","Approximate Age","Lot Dimensions","Property Type","Type","Sold Date","Acreage Range","Selling Office","Listing Office","Listing Member","Selling Member","City","State","Zip Code","Unit #","Parish","Co-selling Member","Legal Desc","Projected Closing Date","Compensation","Pool on Subject Property","Lot #","Co-listing Member","Sold Terms"
"23007012","Beau Soleil","9102","Morning Glory","A","V2","2023-08-02","","2023-08-08","","71","71","290000.00","289450.00","","","1706.00","3","2","","1 - 3 Years","Curvex 81.78x168.35x29.73x128.31","Residential","DS","","0 - 0.5","","RE/MAX On The Bayou (l001348)","Shawn Carter","","Abbeville","LA","70510","","Vermilion","","LOTS 12 BEAU SOLEIL S/D PHASE 1 2022008163 IMB","","2.5% -$150","N","12","",""
"23007741","Fruge","1471","Darrell","A","L3","2023-08-24","","2023-08-24","","55","55","375000.00","375000.00","","","3250.00","5","3","0","41 - 50 Years","235x115x235x115","Residential","DS","","0.51 - 0.99","","ListWithFreedom.com (l001308)","Kurt Clements","","Eunice","LA","70535","","St Landry","","3 LOTS 10 (85X115) 11 & 12 (75X115 EACH) BLK 1 FRUGE ADD FRONTING 235","","1.75%","N","011","",""
"23003541","Interlaken","110","Interlaken","A","I1","2023-04-28","","2023-04-28","","173","173","1200000.00","995000.00","","","5495.00","4","3","1","16 - 20 Years","4.63 acres, as per legal description","Residential","DS","","3 - 5.99","","Latter & Blum (l000050)","Allen Duhe","","New Iberia","LA","70563","","Iberia","","1- 134/90/48 X 436/430 (1.38 AC) INTERLAKEN DR, BAYOU TECHE, LOT 1B,","","Sliding scale","N","1D","",""
"23009125","Judice Oaks","112","Nickland","A","F","2023-10-05","","2023-10-08","","13","13","205000.00","205000.00","","","1569.00","3","2","","21 - 30 Years","66.21x91.62x61x109.86","Residential","DS","","0 - 0.5","","Goldie Locks Realty LLC (l001197)","Krystle Roberson","","Scott","LA","70583","","Lafayette","","LOT 49 JUDICE OAKS ESTATE PHASE I (66.21X91.62X61X109.86)","","2.5% - $200","N","004","",""
"23004764","Coteau Ridge","1703","Highland","A","I3","2023-06-01","","2023-06-01","","139","139","244500.00","244500.00","","","1836.00","4","2","","Under Construction","50 X 120","Residential","DS","","0 - 0.5","","Keaty Real Estate Team (l000932)","James Keaty","","New Iberia","LA","70560","","Iberia","","Coteau Ridge Lot 71","","3%","N","71","",""
"23008497","None","468","Soldier","A","A2","2023-09-18","","2023-09-18","","30","30","735000.00","735000.00","","","3562.00","3","2","1","6 - 10 Years","per plat","Residential","DS","","6 - 10.99","","Hargroder Real Estate Group (l001199)","Ginger Daigle Dupre","","Rayne","LA","70578","","Acadia","","8.70 AC, LOTS 1 & 2 IN SEC 18 T9-3E (MSAG-7.70 AC) (LOT-400) (IMP) (C","","2.5%-150","Y","1 & 2","Nancy Ned",""
"23007834","None","806","Daspit","A","V2","2023-08-25","","2023-08-29","","50","50","155000.00","155000.00","","","1978.00","3","3","","51 - 75 Years","150x150","Residential","DS","","0.51 - 0.99","","McGeeScott Realty (l001196)","Lynette Bagala","","Gueydan","LA","70542","","Vermilion","","LOTS 2, 3, 4 BLK 32 208-13393 IMP","","3%-150","N","002,3,4","",""
"23008788","Le Jardin d' Abel","306","Stony Trek","A","O","2023-09-26","","2023-09-26","","22","22","1400000.00","1400000.00","","","3942.00","4","4","1","Under Construction","100 x 198","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Nicole Trumps","","Youngsville","LA","70592","","Lafayette","","LOT 27 LE JARDIN D ABEL (100X198)","","2.5%","N","27","",""
"23006159","Northwood","211","Rue Vianse","A","D","2023-07-10","","2023-08-01","","78","78","275000.00","275000.00","","","2362.00","4","2","","4 - 5 Years","125x76","Residential","DS","","0 - 0.5","","Dream Home Realty, LLC (l001181)","Joseph Arceneaux","","Lafayette","LA","70501","","Lafayette","","LOT 57-A NORTHWOOD SUBD EXT 2 (0.1756 AC)(19-17214 PLAT)","","3%-$150","N","57","",""
"23005023","Gourney Addition","500","Brenda","A","L3","2023-06-08","","2023-06-08","","132","132","145000.00","125000.00","","","2417.00","3","2","","51 - 75 Years","3 lots at 20 x 125","Residential","DS","","0.51 - 0.99","","EXP Realty, LLC (l001154)","Alayna Lebleu","","Eunice","LA","70535","","St Landry","","3 LOTS 80 81 & 82 (20X125 EACH) GOURNEY PARK ADD N WHITTAKER S ANDRUS E PUBLIC  ALLEY W ST LOUIS ST HAVING A COMBINED FR","","3%","N","80,81,82","",""
"23003912","Sugar Mill Pond","406","Annaberg","A","P","2023-05-07","","2023-05-07","","164","164","675000.00","550000.00","","","2386.00","4","3","","11 - 15 Years","6,128 sq.ft. (approximate)","Residential","DS","","0 - 0.5","","Coldwell Banker Trahan Real Estate Group (l001281)","Julie Howell","","Youngsville","LA","70592","","Lafayette","","LOT D-16 SUGAR MILL POND PHASE 2","","3%","Y","Lot D-16, Phase 2","",""
"23008153","Broussard","1705","McClellan","A","V1","2023-09-01","","2023-09-06","","47","47","174500.00","174500.00","","","1520.00","3","2","0","41 - 50 Years","SEE LEGAL","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Trish Adler","","Abbeville","LA","70510","","Vermilion","","E 33 FT OF LOT 8 W 34 FT OF LOT 9 BLK 7 BROUSSARD S/D Abbeville, La.","","2.5","N","LOT 8, 9 partial","",""
"23004192","Carrollton Pk","107","Loyola","A","N","2023-05-15","","2023-05-24","","147","147","440000.00","389400.00","","","2596.00","4","3","","16 - 20 Years","88x100","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Brian Gotreaux","","Lafayette","LA","70503","","Lafayette","","LOT 68 CARROLLTON PARK SUB PHASE 2 (88X100)","","2.5","N","68","Dawn Gotreaux",""
"23006043","Guillot Village","805","Braxton","A","P","2023-07-07","","2023-10-01","","22","22","247900.00","247900.00","","","1590.00","3","2","","New","45x110.01","Residential","DS","","0 - 0.5","","Lamplighter Realty, LLC (l001186)","Tassie Fonseca","","Youngsville","LA","70592","","Lafayette","","LOT 89 GUILLOT VILLAGE PH 2-A  (45X110.01)","","2.5% - See RR","N","89","",""
"23008940","None","28902","La Hwy 82","A","V3","2023-10-02","","2023-10-02","","16","16","995000.00","995000.00","","","39000.00","12","12","","21 - 30 Years","N/A","Residential","DS","","0 - 0.5","","Keaty Real Estate Team (l000932)","Charles Ditch","","Pecan Island","LA","70548","","Vermilion","","5.024 ACS IN SEC 3 T 16 R 1 W BND S BY LA HWY 82, FORMERLY PECAN ISLAND HIGH SCHOOL","","3%-$150","N","N/A","James Keaty",""
"23005303","None","3232","Bond Road","A","Evangeline","2023-06-15","","2023-06-16","","125","125","599500.00","589500.00","","","4949.00","4","4","","16 - 20 Years","350x270","Residential","DS","","1 - 2.99","","RE/MAX One (l001385)","Kelley Richardson","","Mamou","LA","70554","","Evangeline","","A portion of 18 AGRI. #3-IN E1/2/NE1/4/NE1/4 SEC. 39 T4-1W (APPROX. 18.9 ACS.)","","2%","Y","N/A","",""
"22002750","Hidden Hills Lake","16","Hidden Hills Lake","A","L1","2022-03-25","","2023-08-02","","499","499","516000.00","479900.00","","","3000.00","4","2","1","31 - 40 Years","158x186x80x155","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Trish Adler","","Arnaudville","LA","70512","","St Landry","","1 LOT PART 16 AND 20' TRIANGLE BEING N CORNER OF #15 IN SEC 82 & 84 T","","3.0","N","016","",""
"23007180","Le Triomphe","301","Spyglass","A","P","2023-08-07","","2023-08-11","","68","68","516000.00","460000.00","","","3108.00","4","3","","21 - 30 Years","Corner","Residential","DS","","0 - 0.5","","New Era Realty, LLC (l001329)","Paul Dugas","","Broussard","LA","70518","","Lafayette","","LOT 43 TRACT E VILLAGE OF JONES- LE TRIOMPHE PHASE I","","2.5%-$150","N","43","",""
"23004822","Settlement The","105","Island","A","N","2023-06-02","","2023-08-21","","131","131","325000.00","275000.00","","","2228.00","3","2","1","31 - 40 Years","48x112.49x48.19x115.11","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Sara Whitney","","Lafayette","LA","70508","","Lafayette","","LOT 53 OF THE SETTLEMENT (48X112.49X48.19X115.11)","","3%-$150","N","53","",""
"23009126","Gabriel Melancon Addition","1225","Railroad","A","L2","2023-08-18","","2023-10-08","","61","61","130000.00","130000.00","","","2736.00","4","2","","76+ Years","100 x 235 x 100 x 229","Residential","DS","","0.51 - 0.99","","EXP Realty, LLC (l001154)","Chaderick J Hebert","","Opelousas","LA","70570","","St Landry","","2 LOTS 22 24 GABRIEL MELANCON PARK ADD N LOT 20 S LOT 26 E BAYOU TESON W RAILROAD AVE  FRONTING 100' ON RAILROAD AVE 12","","3%","N","20, 22, 24, 26","",""
"23004745","Sabal Palms","105","Canary Palm","A","O","2023-06-01","","2023-06-01","","139","139","579600.00","579600.00","","","2520.00","4","3","","Under Construction","73x130","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Kirk Schexnaider","","Youngsville","LA","70592","","Lafayette","","LOT 22 SABAL PALMS SUBD PH 3-A","","2.5%-$150","N","22","",""
"23009127","Belleview","111","Grace View","A","F","2023-10-08","","2023-10-08","","10","10","263000.00","263000.00","","","1900.00","4","2","","1 - 3 Years","60 x 110","Residential","DS","","0 - 0.5","","Savvy Team Realty, LLC (l001123)","Dan Yang","","Lafayette","LA","70506","","Lafayette","","LOT 78 BELLE VIEW SUBD PH 1 (60X110.03)","","2.5%-150","N","007","",""
"23006245","Camille","1086","Camille","A","M2","2023-07-13","","2023-07-13","","97","97","270000.00","270000.00","","","2585.00","3","3","","16 - 20 Years","1.27 acres","Residential","DS","","1 - 2.99","","EXP Realty, LLC (l001154)","Susan Theriot","","St. Martinville","LA","70582","","St Martin","","LOTS 15 & 16 OF CAMILLE SUB.","","2%","N","15 & 16","",""
"23008920","Moss Bluffs","108","Elwick","A","D","2023-09-29","","2023-09-30","","19","19","285000.00","285000.00","","","1858.00","4","2","","6 - 10 Years","48X143X45X134","Residential","DS","","0 - 0.5","","B Shivers Realty (l001334)","Teniqueka Green","","Carencro","LA","70507","","Lafayette","","LOT 92 MOSS BLUFF PH 1 SEC 100 & 115, T8S-R4E","","2.5-150","N","92","",""
"23004728","Fairfax Farms","220","Harton","A","P","2023-05-31","","2023-05-31","","140","140","269999.00","269999.00","","","1522.00","3","2","","New","50x120","Residential","DS","","0 - 0.5","","Lamplighter Realty, LLC (l001186)","Tassie Fonseca","","Youngsville","LA","70592","","Lafayette","","LOT 103 FAIRFAX PH II  (50X120)","","2.5%","N","103","",""
"23004692","Parkview","302","Parkview","A","V1","2023-05-28","","2023-05-31","","143","143","115000.00","105000.00","","","1240.00","3","1","1","51 - 75 Years","68.3'x147'x77.7'x143'","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Kim Loan Pham","","Abbeville","LA","70510","","Vermilion","","LOT 100 PARKVIEW S/D 2018005665 IMP","","3%-150","N","100","Kelvin Hoang",""
"23007733","None","109","Frog Leap","A","F","2023-08-24","","2023-08-24","","55","55","140000.00","140000.00","","","1440.00","3","2","","6 - 10 Years","0.632 AC","Residential","MM","","0.51 - 0.99","","Keller Williams Realty Acadiana (l000906)","Shelley Rhodes","","Duson","LA","70529","","Lafayette","","PLOT 1-A-2 SEC 6 T10S R3E (0.632 AC)(16-31260 PLAT)","","3%","N","1-A-2","",""
"23006005","Boulder Creek","102","Creek","A","N","2023-07-06","","2023-07-06","","104","104","689000.00","649000.00","","","3290.00","4","3","","16 - 20 Years","80.25X165X80X161.12","Residential","DS","","0 - 0.5","","Reliance Real Estate Group (l001039)","Anna Ward","","Lafayette","LA","70508","","Lafayette","","LOT 57 BOULDER CREEK PH I (80.25X165X80X161.12)","","3%","Y","57","",""
"23006072","Northwood","215","Starlight","A","D","2023-07-08","","2023-07-08","","102","102","249500.00","245000.00","","","1899.00","4","2","","4 - 5 Years","131 x 55","Residential","DS","","0 - 0.5","","EH Realty (l001373)","Stephen Eggleston","","Lafayette","LA","70501","","Lafayette","","LOT 33 NORTHWOOD SUBD EXT 2","","3%","N","003","",""
"23007542","Oak Place","3","Oak","A","I1","2023-08-16","","2023-08-18","","63","63","480000.00","459000.00","","","4180.00","3","3","","31 - 40 Years","121/115 X 202/204","Residential","DS","","0.51 - 0.99","","Keller Williams Realty Acadiana (l000906)","Kyle Viator","","New Iberia","LA","70563","","Iberia","","LOT 1, LOT 5, BONNE TERRE SUB., OAK PLACE.  BEING LOT 3, OAK PLACE SUB, PHASE 1.  LOCATED IN SEC 22, T12S, R7E","","3","N","3","",""
"23007348","Cotton","1406","State","A","J","2023-08-10","","2023-09-22","","31","31","149000.00","149000.00","","","1552.00","3","2","","51 - 75 Years","66 x 125","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Candace Conner","","Jennings","LA","70546","","Jefferson Davis","","LOT 6 BK 2 COTTON ADD. [8] 504-437 704-539 886-340 978-59 #616734 998-577 #626553 #681223 #684717 #703972 #715407(JOP)","","2.5","N","6","",""
"23007130","Jordan Estates","108","Glenbrook","A","O","2023-08-07","","2023-08-07","","72","72","289900.00","279900.00","","","1662.00","4","2","","6 - 10 Years","Irregular","Residential","DS","","0 - 0.5","","RE/MAX Acadiana (l000020)","Brandi McKnight","","Broussard","LA","70518","","Lafayette","","LOT 5 JORDAN ESTATES","","3","N","5","",""
"22007471","June Park","103","Morningside","A","F","2022-08-06","","2022-08-08","","438","438","267300.00","225900.00","","","1673.00","3","2","","Under Construction","80 x 102.08 x 75.92 x 119.05","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Nicole Trumps","","Duson","LA","70529","","Lafayette","","Lot 23 June Park. (80 x 102.08 x 75.92 x 119.05)","","2.5%","N","23","",""
"23006945","Hidden Haven","135","Oak Haven","A","D","2023-08-02","","2023-08-02","","77","77","269655.00","269655.00","","","2011.00","4","3","0","Under Construction","50X120","Residential","DS","","0 - 0.5","","Cicero Realty LLC (l001234)","Saun Sullivan","","Lafayette","LA","70507","","Lafayette","","HIDDEN HAVEN - LOCATED IN SECT. 74 & 50, T9S-R4E, LAFAYETTE PARISH, LOUISIANA","","2.5%","N","17","",""
"23006350","Bois De Lafayette","312","Silverbell","A","G1","2023-07-15","","2023-07-15","","95","95","425000.00","399000.00","","","3042.00","4","2","","41 - 50 Years","100x170","Residential","DS","","0 - 0.5","","Parish Realty Acadiana (l001178)","Robyn Wells","","Lafayette","LA","70508","","Lafayette","","LOT C-43 BLK 22 BOIS DE LAFAYETTE INC  (100X170)","","3%","Y","C-43","Lauren Gardiner",""
"23004385","Joseph Cefalu","1277","Stephensville","A","M1","2023-05-18","","2023-05-22","","153","153","525000.00","425000.00","","","2280.00","4","2","","21 - 30 Years","111 x 150 x 81 x 160","Residential","DS","","0 - 0.5","","Latter & Blum - NI (l001161)","Lori Broussard","","Morgan City","LA","70380","","St Martin","","''LOT: BEING TRACT ''''HIJGH'''' PER PLAT OF SURVEY #462500COB: 677-5","","3%-150","N","6","",""
"21009644","Ward Twelve Non-Subdivision","620","Iberia","A","St. Mary","2021-10-19","","2023-08-09","","638","638","58000.00","38000.00","","","1696.00","3","1","","76+ Years","46 x 150","Residential","DS","","0 - 0.5","","Caffery Real Estate, Inc. (l000915)","Kathryn Monte","","Franklin","LA","70538","","St Mary","","LOT POR BD FOURMY - TURNER - IBERIA ST - BOUDREAUX SITUATED IN SEC 3 T14S R9E","","2.5%","N","NA","",""
"22011344","Stebbins","506","East","A","V1","2022-12-20","","2023-08-02","","230","230","120000.00","115000.00","","","1650.00","3","2","","Other - See Remarks","60 x 120","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Kim Loan Pham","","Abbeville","LA","70510","","Vermilion","","1 LOT 60' FRT N & S ON EAST ST BY 120' E & W BEING POR OF LOT 56 STEBBINS ADD","","3%-150","N","56","",""
"23006014","Joseph Dugas Estate Partition","1802","Pinhook","A","H","2023-07-07","","2023-07-07","","103","103","198000.00","188000.00","","","1347.00","3","2","","6 - 10 Years","42X137.35","Residential","DS","","0 - 0.5","","PAR Realty, LLP (l000944)","Trabais Montgomery","","Lafayette","LA","70501","","Lafayette","","LOT 3 JOSEPH DUGAS ESTATE PARTITION","","2.5%-$150","N","3","Sabrina Cormier",""
"23007876","Cypress Crossings","108","Bristow Bayou","A","O","2023-08-28","","2023-08-28","","51","51","269900.00","269900.00","","","1755.00","3","2","","6 - 10 Years","55 x 120","Residential","DS","","0 - 0.5","","1 Percent Lists Acadiana (l001374)","Shannon LeBlanc","","Broussard","LA","70518","","Lafayette","","LOT 158 CYPRESS CROSSING PHASE I (55.01X120.01)","","2%","N","015","",""
"23009053","Broadmoor Terrace","112","Papwood","A","G2","2023-10-05","","2023-10-05","","13","13","249500.00","249500.00","","","1721.00","3","2","","41 - 50 Years","Irr","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Bill Stephens","","Lafayette","LA","70503","","Lafayette","","Lot 548 of Broadmoor Terrace S/D ext 6","","3%","N","548","",""
"23007884","F A Godchaux Addition","810","Jefferson","A","V1","2023-08-28","","2023-10-02","","31","31","119900.00","119900.00","","","1325.00","3","2","","51 - 75 Years","88.5' X 110'","Residential","DS","","0 - 0.5","","Your Southern Real Estate Co. (l001135)","Denise Broussard","","Abbeville","LA","70510","","Vermilion","","S POR LOTS 10,11 BLK J FA GODCHAUX ADD 2012005911 IMP","","See RR","N","010","",""
"23006946","None","382","Curleys","A","L2","2023-08-01","","2023-08-02","","78","78","65000.00","65000.00","","","1100.00","3","1","","76+ Years","0.5 AC","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Deborah Pierce","","Sunset","LA","70584","","St Landry","","1 LOT 3 AC PART OF PLAT 1 TRACT 1 IN SEC 35 & 36 T-7S R-3E 626143 (V-21-701)","","3%","N","0","",""
"23008502","Fernewood","200","Stonington","A","N","2023-09-16","","2023-09-18","","32","32","550000.00","515000.00","","","3064.00","3","2","1","31 - 40 Years","100X136.61X100X135.84","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Joel Bacque","","Lafayette","LA","70503","","Lafayette","","LOT 3 FERNEWOOD SUBDV PHASE I (100X136.61X100X135.84)","","3%-150","N","3","",""
"23000411","Murrell Addition","118","Melissa","A","A4","2023-01-16","","2023-09-20","","233","233","60000.00","51000.00","","","1260.00","3","1","","41 - 50 Years","66.6X100","Residential","DS","","0 - 0.5","","Christe Dailey Realty (l000917)","Christe Dailey","","Church Point","LA","70525","","Acadia","","LOT 32 MURRELL ADD. (1 LOT) (IMP A2+/1356) (LOT SIZE: 66.6 X 100) ACQ","","3-150","N","032","",""
"22011297","Mon Cherie","102","Bruges","A","P","2022-12-19","","2022-12-19","","303","303","436700.00","436700.00","","","1985.00","3","2","","Proposed Constructio","44.19x113.36x60.58","Residential","PC","","0 - 0.5","","Real Broker, LLC (l001335)","Carrie Theard","","Youngsville","LA","70592","","Lafayette","","Lot 97 Mon Cherie","","2.5%","N","97","",""
"23008820","Fountain View","212","Rosemary","A","G1","2023-09-27","","2023-09-27","","21","21","239990.00","239990.00","","","1729.00","3","2","","6 - 10 Years","51.50X100","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Hailey Daigle Genin","","Lafayette","LA","70508","","Lafayette","","LOT 22 FOUNTAINVIEW PLACE SUBDIV (51.50X100)","","2.5%-150","N","22","Clare Hensarling",""
"23003251","None","3925","Pitreville Hwy","A","A4","2023-04-21","","2023-05-08","","163","163","165000.00","155000.00","","","1900.00","3","2","","41 - 50 Years","unk","Residential","DS","","3 - 5.99","","EXP Realty, LLC (l001154)","Steven Moody","","Church Point","LA","70525","","Acadia","","4.50 AC SECS 9-10 T7-2E. (MISCAG-3 AC) (LOT-TR-T6) (LOT-IMP) (EMPB) (","","3%","N","None","",""
"23001967","None","1043","Mcveigh","A","M1","2023-03-06","","2023-07-07","","212","212","335000.00","335000.00","","","3899.00","3","2","2","41 - 50 Years","430x858","Residential","DS","","6 - 10.99","","Keller Williams Realty Acadiana (l000906)","Lucius Hornsby","","Arnaudville","LA","70512","","St Martin","",".551 AC: TRACT 5 & TRACT 5A PLAT OF SURVEY #338007COB: 1363-837-33800","","3%","Y","0","",""
"23007710","None","200","Cunningham","A","A2","2023-08-22","","2023-09-03","","45","45","100000.00","90000.00","","","1650.00","2","2","","76+ Years","40x120","Residential","DS","","0 - 0.5","","NextHome Cutting Edge Realty (l001236)","Lauren Arnaud","","Rayne","LA","70578","","Acadia","","LOTS 1 & 3 BLK 24 CUNNINGHAM. (2 LOTS)(IMP)(B-1875)(LOT SIZE: 40 X 12","","2.5-$150","N","001","",""
"23008571","Barry Billeaud","510","General Mouton","A","G2","2023-09-19","","2023-09-19","","29","29","250000.00","250000.00","","","1080.00","2","2","1","Under Construction","irregular","Residential","AS","","0 - 0.5","","Reliance Real Estate Group (l001039)","Jeremiah Gooding","","Lafayette","LA","70501","A","Lafayette","","LOT 7 BLK 11 BARRY-BILLEAUD ADD P LOT 8 BLK 11 BARRY-BILLEAUD ADD","","2.5%","N","7&8","Anna Ward",""
"23008710","None","6334","Roberts Cove","A","A2","2023-09-22","","2023-09-22","","26","26","275000.00","275000.00","","","2142.00","4","2","","51 - 75 Years","as per plat","Residential","DS","","0.51 - 0.99","","Keller Williams Realty Acadiana (l000906)","Jenn Stonicher","","Rayne","LA","70578","","Acadia","",".75 acres of 1.24 AC IN SEC 42 T9-1E (LOT) (LOT) (IMP)(F-2308) (IMP) (B-1104) ACQ:","","3%","N","SEC 42 T9-1E","",""
"23008408","Brookshire Gardens","219","English Gardens","A","N","2023-09-13","","2023-09-14","","35","35","975000.00","975000.00","","","4031.00","4","4","1","6 - 10 Years","80X147","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Arla Slaughter","","Lafayette","LA","70503","","Lafayette","","LOT 34 BROOKSHIRE GARDENS SUB","","SS-$150","Y","34","",""
"23003402","None","701","Louis Arceneaux","A","D","2023-04-26","","2023-04-26","","175","175","1300000.00","1300000.00","","","4121.00","4","3","1","4 - 5 Years","290X477.71X294.14X518.62","Residential","DS","","3 - 5.99","","HUNCO Real Estate (l001141)","Angelle Dueitt","","Lafayette","LA","70507","","Lafayette","","TR 7 BARONY SINGLE FAMILY DEV  (3.27 AC)(290X477.71X294.14X518.62)","","2.5% - $150","N","n/a","Tiffany Carter",""
"23009059","Ella Trace","100","Flora Springs","A","O","2023-10-05","","2023-10-09","","9","9","425000.00","425000.00","","","2224.00","4","3","","6 - 10 Years","Irregular","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Walter Campbell","","Youngsville","LA","70592","","Lafayette","","LOT 8 ELLA TRACE","","3.0%","N","8","",""
